Number,Geotechnical type,Typical soils,Unfavourable geology,UCSlower,UCSupper,Permeation,Maximum groundwater level,Burial depth lower,Burial depth upper,Length,Calibre,Open rate
9,黏土、人工填土,粘性土,没有,0,0,1,,15.7,23,1.55,6.28,0.45
10,淤泥质土层、粗中砂层、卵石层,粘性土,没有,0,0,5,3.4,10.4,30.6,2.668,6,0.38
15,淤泥质土、淤泥混砂、粉质黏土、砾砂、淤泥、砂质黏性土、 花岗岩,粘性土,海底基岩面呈起伏状，有孤石，伴有 CH4、CO 等有害气体,50,128,6,35.8,28,30,3.047,14.5,0.28
16,大部分处于微风化砂岩、砂砾岩中，局部位于淤泥质与粉质黏土中，部分地段穿越软硬不均地层,粘性土,没有,16,82.8,4,0.5,7.8,52.3,9.277,10.8,0.32
17,主要为弱风化泥质粉砂岩、泥质粉砂岩和粉砂质泥岩互层，粉砂质泥岩，泥质细、粗砂岩,特殊性土,没有,16,40,5,27,45.4,48.2,8.8,8.2,0.31
32,强、中和微风化角岩层,特殊性土,没有,100,165,3,,15,44.61,2.104,6.5,0.28
35,粉质黏土、淤泥质土、砾砂、砾质黏性土、全风化花岗岩、强风化花岗岩、中风化花岗岩、微风化花岗岩、,粘性土,构造破碎带和孤石,45,131,1,,9.8,41.3,1.8,15.2,0.32
40,人工填土、江底淤泥、褐黄色粉质粘土、灰色粘质粉土、灰色淤泥质粉质粘土、灰色砂质粉土、灰色淤泥质粘土、灰色粘土、灰色粉质粘土、灰色粉质粘土夹粘质粉土、灰色粘质粉土、灰色粉砂,粘性土,有害气体,0,0,5,0.50 ,6.261,42.7,6.77,10.3,0.34
